Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z01349,501,55,0,0,0,0,19,0,36
Z01351,993,54,41,0,0,0,7,0,6
Z01354,622,53,0,0,8,0,24,0,21
Z01360,1388,154,22,0,21,0,90,0,21
Z01364,3704,402,19,29,175,0,116,23,40
Z01366,563,67,9,0,0,8,30,0,20
Z01367,318,71,4,0,0,0,43,0,24
Z01370,1964,196,17,19,22,0,94,0,44
Z01373,2129,215,47,0,0,44,43,0,81
Z01375,1574,46,46,0,0,0,0,0,0
Z01376,2469,217,51,51,54,0,15,0,46
Z01379,396,20,0,0,3,0,11,0,6
Z01420,17031,2189,791,121,288,100,111,0,778
Z01430,2748,532,0,0,42,38,414,0,38
Z01431,1130,82,0,0,0,0,43,0,39
Z01432,3537,229,109,0,0,37,0,0,83
Z01440,9183,1027,158,16,145,79,151,0,478
Z01450,4243,251,48,0,30,0,85,0,88
Z01451,1683,31,0,0,23,0,0,0,8
Z01452,1751,159,0,0,19,0,82,0,58
Z01453,17847,1063,479,36,177,89,74,0,208
Z01460,3691,245,69,0,0,15,23,0,138
Z01462,4567,280,16,0,22,34,126,0,82
Z01463,4451,204,78,0,25,0,9,0,92
Z01464,2462,131,0,0,55,0,0,0,76
Z01468,1876,264,38,0,68,0,116,0,42
Z01469,2648,101,0,0,16,20,12,0,53
Z01473,3051,272,14,0,40,0,200,0,18
Z01474,856,127,0,0,0,0,32,0,95
Z01475,4511,563,167,0,82,0,189,0,125
Z01501,6616,349,70,0,72,48,27,0,132
Z01503,1163,85,0,0,50,16,15,0,4
Z01504,3628,295,71,0,26,0,36,0,162
Z01505,1751,133,0,9,51,35,11,0,27
Z01506,1514,124,0,25,19,0,21,0,59
Z01507,4913,169,52,18,74,0,9,0,16
Z01510,6211,567,187,48,10,0,8,0,314
Z01515,895,68,13,0,0,19,23,0,13
Z01516,3290,190,0,0,52,0,72,0,66
Z01518,1364,151,0,0,53,41,57,0,0
