Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z03244,3975,3170,805
Z03245,1448,816,632
Z03246,9870,6776,3094
Z03249,5100,3055,2045
Z03251,3035,608,2427
Z03253,4624,2611,2013
Z03254,4993,1807,3186
Z03255,1643,828,815
Z03256,1198,871,327
Z03257,2312,1734,578
Z03258,1065,980,85
Z03259,274,153,121
Z03260,409,324,85
Z03261,2071,1644,427
Z03262,1237,437,800
Z03263,1612,1524,88
Z03264,2672,2245,427
Z03266,1472,960,512
Z03268,529,520,9
Z03269,1643,1184,459
Z03273,255,146,109
Z03275,4782,4377,405
Z03276,3584,3267,317
Z03278,1435,1090,345
Z03279,548,313,235
Z03280,1131,476,655
Z03281,3816,3144,672
Z03282,513,341,172
Z03284,587,392,195
Z03285,1824,912,912
Z03287,697,611,86
Z03290,1943,1734,209
Z03291,19,19,0
Z03293,132,35,97
Z03301,14032,12897,1135
Z03303,6498,6074,424
Z03304,2887,2783,104
Z03307,2204,2062,142
Z03431,10921,10265,656
Z03440,1435,1050,385
Z03441,245,181,64
Z03442,715,553,162
Z03443,301,301,0
Z03444,780,613,167
Z03445,298,278,20
Z03446,2712,2413,299
Z03447,1225,1058,167
Z03448,374,300,74
Z03449,910,727,183
Z03450,688,453,235
Z03451,1941,1777,164
Z03452,2397,2170,227
Z03455,926,812,114
Z03456,428,304,124
Z03457,475,290,185
Z03458,3527,3202,325
Z03461,2199,1836,363
Z03462,919,705,214
Z03464,1031,483,548
Z03465,959,947,12
Z03466,464,464,0
Z03467,722,636,86
Z03470,2337,1990,347
Z03561,2971,2591,380
Z03570,4888,4095,793
Z03574,1526,1049,477
Z03575,370,13,357
Z03576,2525,1488,1037
Z03579,1119,257,862
Z03580,1080,599,481
Z03581,1686,1433,253
Z03582,1421,1058,363
Z03583,589,433,156
Z03584,1910,1633,277
Z03585,1448,1059,389
Z03586,458,295,163
Z03588,1114,718,396
Z03590,715,399,316
Z03592,2204,568,1636
Z03593,345,187,158
Z03595,545,323,222
Z03597,287,143,144
Z03598,1957,1482,475
Z03601,285,197,88
Z03602,1187,1049,138
Z03603,2426,2186,240
Z03604,143,143,0
Z03605,603,402,201
Z03607,177,152,25
Z03608,1131,1047,84
Z03609,414,392,22
Z03740,501,317,184
Z03741,1994,1583,411
Z03743,6410,5445,965
Z03745,643,578,65
Z03746,94,81,13
Z03748,2567,2024,543
Z03750,383,365,18
Z03751,473,294,179
Z03752,391,298,93
Z03753,1651,1115,536
Z03754,113,113,0
Z03755,2886,2607,279
Z03765,298,228,70
Z03766,4773,4402,371
Z03768,783,679,104
Z03770,202,178,24
Z03771,381,339,42
Z03773,3737,3136,601
Z03774,750,572,178
Z03777,682,557,125
Z03779,491,335,156
Z03780,228,170,58
Z03781,766,701,65
Z03782,2258,1351,907
Z03784,2006,1942,64
Z03785,1373,1039,334
Z03801,11110,10567,543
Z03809,2041,1524,517
Z03810,2367,600,1767
Z03811,2757,2630,127
Z03812,1390,408,982
Z03813,2085,1297,788
Z03814,1861,1014,847
Z03816,1037,525,512
Z03817,452,339,113
Z03818,2225,1615,610
Z03819,1596,1548,48
Z03820,13602,12681,921
Z03823,639,613,26
Z03824,3544,3116,428
Z03825,3697,3336,361
Z03826,1098,1047,51
Z03827,1386,1194,192
Z03830,2039,745,1294
Z03832,274,164,110
Z03833,8716,8490,226
Z03835,2893,2624,269
Z03836,1770,566,1204
Z03837,903,606,297
Z03838,1761,534,1227
Z03839,1653,1523,130
Z03840,1492,1447,45
Z03841,2626,2503,123
Z03842,9571,6767,2804
Z03844,957,930,27
Z03845,1246,565,681
Z03846,944,391,553
Z03847,238,154,84
Z03848,2746,2502,244
Z03849,1120,593,527
Z03850,312,157,155
Z03851,1841,1469,372
Z03852,217,207,10
Z03853,977,288,689
Z03854,551,468,83
Z03855,1562,970,592
Z03856,569,562,7
Z03857,4040,3854,186
Z03858,1867,1792,75
Z03860,2922,1854,1068
Z03861,1834,1776,58
Z03862,1869,1729,140
Z03864,853,640,213
Z03865,3034,2838,196
Z03867,9897,9096,801
Z03868,2281,2161,120
Z03869,1044,986,58
Z03870,2960,2398,562
Z03871,17,17,0
Z03872,2034,1636,398
Z03873,2300,2171,129
Z03874,4696,3858,838
Z03875,846,489,357
Z03878,4989,4613,376
Z03882,992,593,399
Z03883,148,62,86
Z03884,1721,1409,312
Z03885,2818,2776,42
Z03886,1588,1072,516
Z03887,960,743,217
Z03890,295,143,152
Z03894,4582,2744,1838
Z03901,3028,2775,253
Z03902,1280,1094,186
Z03903,2662,2459,203
Z03904,4167,3631,536
Z03905,1085,855,230
Z03906,1905,1799,106
Z03907,1888,677,1211
Z03908,2852,2702,150
Z03909,6600,4332,2268
Z03910,613,165,448
Z03911,317,78,239
Z04001,2181,947,1234
Z04002,3579,2979,600
Z04003,480,201,279
Z04005,10451,9147,1304
Z04006,170,81,89
Z04008,1324,1293,31
Z04009,4174,2030,2144
Z04010,862,502,360
Z04011,9441,8328,1113
Z04015,3047,1509,1538
Z04017,557,239,318
Z04019,180,0,180
Z04020,684,571,113
Z04021,2182,2137,45
Z04022,1161,423,738
Z04024,307,225,82
Z04027,2633,2277,356
Z04029,1499,749,750
Z04030,1510,1052,458
Z04032,3580,3199,381
Z04037,2071,1422,649
Z04038,6370,5889,481
Z04039,3281,2885,396
Z04040,2293,1361,932
Z04041,862,616,246
Z04042,1864,1743,121
Z04043,6121,4738,1383
Z04046,4644,3197,1447
Z04047,1132,678,454
Z04048,1549,1091,458
Z04049,1655,1351,304
Z04050,424,130,294
Z04051,1208,415,793
Z04055,3289,1647,1642
Z04056,163,115,48
Z04057,0,0,0
Z04061,1205,935,270
Z04062,7814,6450,1364
Z04063,549,280,269
Z04064,5960,3985,1975
Z04066,450,254,196
Z04068,804,572,232
Z04069,608,595,13
Z04071,3833,2087,1746
Z04072,8554,7847,707
Z04073,7582,6658,924
Z04074,8286,7403,883
Z04076,2059,1048,1011
Z04079,2907,1583,1324
Z04083,2013,1803,210
Z04084,4077,2989,1088
Z04085,710,675,35
Z04086,4175,3778,397
Z04087,1027,769,258
Z04088,1014,624,390
Z04090,8766,4513,4253
Z04091,371,318,53
Z04092,8361,7851,510
Z04093,3452,3190,262
Z04095,1024,565,459
Z04096,3696,3462,234
Z04097,1405,1361,44
Z04101,9739,8756,983
Z04102,8166,7757,409
Z04103,14144,13147,997
Z04105,4803,4596,207
Z04106,11273,10655,618
Z04107,4084,3722,362
Z04108,1008,412,596
Z04109,228,47,181
Z04110,722,582,140
Z04210,10696,9742,954
Z04216,470,167,303
Z04217,2706,1171,1535
Z04219,1172,619,553
Z04220,1465,1179,286
Z04221,512,381,131
Z04222,1679,1585,94
Z04224,1452,1056,396
Z04226,124,80,44
Z04227,34,34,0
Z04228,20,20,0
Z04231,340,123,217
Z04234,55,55,0
