Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z94964,San Quentin,CA,California,Marin,3884
Z94965,Sausalito,CA,California,Marin,11294
Z94970,Stinson Beach,CA,California,Marin,573
Z94971,Tomales,CA,California,Marin,339
Z94972,Valley Ford,CA,California,Sonoma,0
Z94973,Woodacre,CA,California,Marin,1653
Z95002,Alviso,CA,California,Santa Clara,1764
Z95003,Aptos,CA,California,Santa Cruz,24546
Z95004,Aromas,CA,California,Monterey,4109
Z95005,Ben Lomond,CA,California,Santa Cruz,6733
Z95006,Boulder Creek,CA,California,Santa Cruz,8555
Z95007,Brookdale,CA,California,Santa Cruz,715
Z95008,Campbell,CA,California,Santa Clara,46054
Z95010,Capitola,CA,California,Santa Cruz,9335
Z95012,Castroville,CA,California,Monterey,10748
Z95013,Coyote,CA,California,Santa Clara,57
Z95014,Cupertino,CA,California,Santa Clara,62346
Z95017,Davenport,CA,California,Santa Cruz,658
Z95018,Felton,CA,California,Santa Cruz,7632
Z95019,Freedom,CA,California,Santa Cruz,7159
Z95020,Gilroy,CA,California,Santa Clara,60203
Z95023,Hollister,CA,California,San Benito,50759
Z95030,Los Gatos,CA,California,Santa Clara,13389
Z95032,Los Gatos,CA,California,Santa Clara,26360
Z95033,Los Gatos,CA,California,Santa Clara,9772
Z95035,Milpitas,CA,California,Santa Clara,71767
Z95037,Morgan Hill,CA,California,Santa Clara,47560
Z95039,Moss Landing,CA,California,Monterey,1558
Z95041,Mount Hermon,CA,California,Santa Cruz,222
Z95043,Paicines,CA,California,San Benito,721
Z95045,San Juan Bautista,CA,California,San Benito,4334
Z95046,San Martin,CA,California,Santa Clara,6413
Z95050,Santa Clara,CA,California,Santa Clara,38024
Z95051,Santa Clara,CA,California,Santa Clara,55470
Z95053,Santa Clara,CA,California,Santa Clara,2911
Z95054,Santa Clara,CA,California,Santa Clara,23989
Z95060,Santa Cruz,CA,California,Santa Cruz,46695
Z95062,Santa Cruz,CA,California,Santa Cruz,37132
Z95064,Santa Cruz,CA,California,Santa Cruz,9385
Z95065,Santa Cruz,CA,California,Santa Cruz,8804
Z95066,Scotts Valley,CA,California,Santa Cruz,15670
Z95070,Saratoga,CA,California,Santa Clara,31223
Z95073,Soquel,CA,California,Santa Cruz,11265
Z95075,Tres Pinos,CA,California,San Benito,339
Z95076,Watsonville,CA,California,Santa Cruz,84779
Z95110,San Jose,CA,California,Santa Clara,19682
Z95111,San Jose,CA,California,Santa Clara,62157
Z95112,San Jose,CA,California,Santa Clara,60130
Z95113,San Jose,CA,California,Santa Clara,1169
Z95116,San Jose,CA,California,Santa Clara,54217
Z95117,San Jose,CA,California,Santa Clara,31613
Z95118,San Jose,CA,California,Santa Clara,31871
Z95119,San Jose,CA,California,Santa Clara,10781
Z95120,San Jose,CA,California,Santa Clara,37644
Z95121,San Jose,CA,California,Santa Clara,38958
Z95122,San Jose,CA,California,Santa Clara,58350
Z95123,San Jose,CA,California,Santa Clara,65276
Z95124,San Jose,CA,California,Santa Clara,49402
Z95125,San Jose,CA,California,Santa Clara,54563
Z95126,San Jose,CA,California,Santa Clara,33842
Z95127,San Jose,CA,California,Santa Clara,65812
Z95128,San Jose,CA,California,Santa Clara,37870
Z95129,San Jose,CA,California,Santa Clara,40471
Z95130,San Jose,CA,California,Santa Clara,14413
Z95131,San Jose,CA,California,Santa Clara,29995
Z95132,San Jose,CA,California,Santa Clara,40518
Z95133,San Jose,CA,California,Santa Clara,28392
Z95134,San Jose,CA,California,Santa Clara,18743
Z95135,San Jose,CA,California,Santa Clara,21766
Z95136,San Jose,CA,California,Santa Clara,42725
Z95138,San Jose,CA,California,Santa Clara,19297
Z95139,San Jose,CA,California,Santa Clara,6784
Z95140,Mount Hamilton,CA,California,Santa Clara,209
Z95148,San Jose,CA,California,Santa Clara,48225
Z95202,Stockton,CA,California,San Joaquin,6067
Z95203,Stockton,CA,California,San Joaquin,15971
Z95204,Stockton,CA,California,San Joaquin,28625
Z95205,Stockton,CA,California,San Joaquin,37299
