City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Ellendale,ND,1,1956,13.5,14.8,13.4,10.8,82.7,27.7,-1.3,46,96.8,1.1,0,0,2.1,317.393,0.576
Ellensburg,WA,1,31108,8.2,6.1,29.2,26,71.1,13.2,6,52.1,88.3,5.6,0.9,2,3.2,577.014,2.315
Ellenton,FL,1,10843,7.5,7.1,36.9,11,80.8,7.9,0.7,51.7,92.9,5.1,1.3,0.1,0.6,5.248,1.147
Ellenville,NY,1,6620,17.7,17.8,38.3,17.7,76.9,-0.7,2.2,86.3,54.6,24.6,16.7,0.8,3.3,53.991,0.578
Ellenwood,GA,1,41026,11.3,9.1,24.7,11.5,120,13.7,1,35.9,28.4,1.9,66.8,1.3,1.6,32.358,0.287
Ellerbe,NC,1,4590,22.7,12.8,43.9,25.6,63.3,-17.3,-14.3,98.3,63.3,8.8,26.8,0,1.1,143.404,0.922
Ellerslie,GA,1,2940,5.4,0,19.8,4.4,144.4,8.1,-14.3,13.1,61.6,0,37.5,0,0.9,11.626,0.198
Ellettsville,IN,1,8910,10.9,4.6,21.3,6.6,111.1,38.9,6.2,11.9,96.4,0.8,1.5,0,1.3,24.651,0
Ellicottville,NY,1,1510,5.4,7.4,20.5,6.8,103.6,4.5,12.8,17.1,97.5,0.4,0,0.3,1.8,45.808,0.047
Ellington,CT,1,15659,5,4.1,19.2,3,121.6,16.3,3.3,5.6,95.8,1.4,0.9,0.9,1,33.806,0.533
Ellington,MO,1,2726,23.3,10.9,41.2,19.6,65.9,23.7,-8.2,86.2,0.1,2.1,0.8,2.1,94.9,331.928,0.538
Ellinwood,KS,1,3029,13.5,4.7,18.1,16.2,102.5,-7.5,-7.7,51.1,39.2,1.1,0,0.7,59,168.712,0.325
Elliott,IA,1,671,11.5,4.1,19.8,6.4,100.2,25.9,7.7,13.1,99.7,0,0,0,0.3,57.009,0.061
Elliottsburg,PA,1,1830,15.5,2.2,22.9,10.2,118.9,-21.9,-8.8,46.4,97.5,0.8,0,0.3,1.4,31.574,0.033
Ellis Grove,IL,1,1124,11,18.9,25.3,5.6,81.4,0,25,46.6,0,1.3,0,0.9,97.8,36.65,1.636
Ellis,KS,1,2720,11.2,3.7,21.4,6.6,97,9.1,-7.5,31.4,0,1,0.2,1.4,97.4,335.968,5.544
Ellison Bay,WI,1,931,5.9,9.7,28.7,12,103.1,-5.4,-4.2,54.1,92.9,0,0.5,0.1,6.5,26.676,3.35
Elliston,VA,1,4551,23,8.9,40.7,27.5,51.2,10.8,-8.9,91.2,97.4,0,2,0.1,0.5,45.924,0.225
Ellisville,MS,1,13830,22,9.9,37.3,23.5,88.4,-12,0.5,86.3,82.4,0.5,16.2,0,0.9,167.76,0.834
Elloree,SC,1,3420,16.9,19.1,35.9,21.9,76.7,-3.4,15.6,82.1,47.7,0.9,50.3,0,1.1,65.449,4.764
Ellsinore,MO,1,3026,21.6,20,37.1,22.3,66.4,-3.3,-1.7,94.5,0.1,0.2,0.7,0.6,98.4,188.438,0.477
Ellsworth Afb,SD,1,2711,3.1,15.1,46.6,12.9,84.1,28.4,36.4,41.9,67.5,11.4,12.1,2.3,6.7,6.442,0
Ellsworth,IA,1,794,4.2,8.8,14.1,7.3,103.4,-5.2,11.8,20.5,88.3,10.2,0.3,0.4,0.8,46.086,0.003
Ellsworth,IL,1,720,7.9,0,26.9,4,99.3,5.7,22.2,13,99.1,0,0,0,0.9,34.1,0.014
Ellsworth,KS,1,3674,11.1,6.9,47.4,7.4,97.2,-10.7,-4.5,64.8,23.2,3.4,0,1.2,72.2,213.248,0.543
Ellsworth,ME,1,13160,5.9,7.3,26.6,14.8,95.8,5.4,5.8,37.1,97.1,0.6,0.3,0.3,1.7,284.509,47.967
Ellsworth,MI,1,1436,13.3,4.3,28.5,13.9,92.2,44.8,25.9,26,96.3,0.3,0.1,0.6,2.7,37.767,5.269
Ellsworth,MN,1,741,14,10.9,13.6,8.8,79.3,-25,0,60.2,95.4,0,1.1,0.4,3.1,46.749,0.02
Ellsworth,PA,1,772,18.6,16.1,36,22.3,89,-25,-25,95,95.4,0.3,1.4,0,2.9,0.762,0.017
Ellsworth,WI,1,6630,7.9,3.4,21.4,8,126.4,20.7,5.3,9.2,97.7,0.7,0,0.1,1.5,102.888,0.21
Ellwood City,PA,1,17210,9.3,8.1,23.8,11.5,85.6,3.8,0.6,46.2,98.2,0.2,0.6,0.2,0.8,36.797,0.617
Elm City,NC,1,7984,14.6,9.5,26,11.9,99.9,-37.4,3.9,60.6,64.4,0.3,33.6,0.1,1.6,91.513,0.582
Elm Creek,NE,1,1590,5,3.2,14.6,6.4,102.1,-9,24.1,10.6,0.2,1.4,0,4.8,93.6,148.243,2.218
Elm Grove,LA,1,2501,22.8,24.8,32.1,12.9,108.7,-47.2,-29,89.4,21.5,1.2,0.6,9.7,67,93.689,9.142
Elm Grove,WI,1,6077,2.2,7.2,17.7,2.2,216.2,-7.4,-1.1,16.1,96.4,1.6,0.1,1,0.9,3.267,0.018
Elm Mott,TX,1,3055,15.9,8.5,30.4,11.8,64.2,-14,-2.9,79.5,79.8,13.6,4.7,0.4,1.5,28.408,0.344
Elma,IA,1,1450,16.6,4.1,20,13.7,86.8,-15.6,0,54,98.4,0.1,0.4,0.2,0.9,111.65,0.071
Elma,NY,1,9814,3.5,3.1,21.3,3,132.1,28.6,7.5,2,98.5,0.1,0,0.3,1.1,26.942,0.004
